ulpin,village,owner_primary,owner_count,area_textual,area_unit,area_ha_textual,declared_value_inr,income_stated_inr,mortgaged,mutation_events,injected_area_mismatch,injected_duplicate,injected_benami
UP231000000001,Rampur Khurd,Santosh Dubey,1,5.9745,bigha,1.510947,1725435.93,692260.9534717004,False,2,False,False,False
UP231000000002,Rampur Khurd,Sunita Verma,1,1.0055,bigha,0.254292,217012.94,727814.1292529475,False,2,False,False,False
UP231000000003,Rampur Khurd,Dinesh Patel,1,2.8512,bigha,0.721059,914130.03,1483605.818038247,False,0,True,False,False
UP231000000004,Rampur Khurd,Prabha Sharma,1,4.4814,bigha,1.133354,1469932.91,1998636.6899841805,False,0,True,False,False
UP231000000005,Rampur Khurd,Ramesh Patel,1,2.489,bigha,0.629474,1342617.49,964515.8979443723,False,4,False,False,False
UP231000000006,Rampur Khurd,Vijay Patel,1,0.9448,bigha,0.238928,631316.83,175509.15834922233,True,2,True,False,False
UP231000000007,Rampur Khurd,Mohan Gupta,1,4.5323,bigha,1.146208,1902709.93,351667.48369628785,False,0,False,False,False
UP231000000008,Rampur Khurd,Nirmala Maurya,1,0.5587,bigha,0.141288,309291.36,668819.629179958,False,1,False,False,False
UP231000000009,Rampur Khurd,Savitri Maurya,1,4.164,bigha,1.053073,2463213.12,1707597.0552602254,True,0,False,False,False
UP231000000010,Rampur Khurd,Santosh Yadav,1,1.3391,bigha,0.338647,814982.81,1412937.2851361653,True,4,False,False,False
UP231000000011,Rampur Khurd,Hari Patel,1,0.6859,bigha,0.173464,355974.85,83218.54679464287,False,1,False,False,True
UP231000000012,Rampur Khurd,Suresh Mishra,1,6.654,bigha,1.682802,3838891.52,523554.73969103704,False,3,False,False,False
UP231000000138,Rampur Khurd,Pushpa Patel,1,5.0466,bigha,1.276277,2130640.73,831871.3233549816,False,2,False,True,False
UP231000000014,Rampur Khurd,Mohan Pandey,1,8.9661,bigha,2.267517,2483650.0,1424695.9869693583,False,1,True,False,False
UP231000000015,Rampur Khurd,Dinesh Dubey,1,4.8499,bigha,1.226536,2346363.08,983477.561469327,False,1,False,False,False
UP231000000016,Rampur Khurd,Vijay Srivastava,1,1.9641,bigha,0.496726,601889.44,565200.8337488653,False,0,True,False,False
UP231000000017,Rampur Khurd,Geeta Srivastava,1,5.6572,bigha,1.430698,3315673.23,1734837.0743027905,False,3,False,False,False
UP231000000018,Rampur Khurd,Usha Patel,1,6.7293,bigha,1.701832,2946521.96,1804695.396143198,False,3,False,False,False
UP231000000019,Rampur Khurd,Geeta Verma,2,2.1046,bigha,0.532265,801205.6,728674.6429723587,False,0,False,False,False
UP231000000020,Rampur Khurd,Kusum Patel,1,4.0773,bigha,1.031161,2477530.87,667364.0395075285,False,3,False,False,False
UP231000000021,Rampur Khurd,Geeta Chauhan,1,4.5059,bigha,1.139549,2668571.98,1224596.2736930307,False,0,False,False,False
UP231000000022,Rampur Khurd,Pushpa Singh,1,6.2092,bigha,1.570312,2268339.21,1528818.6647540913,False,2,False,False,False
UP231000000023,Rampur Khurd,Ramesh Chauhan,1,1.6429,bigha,0.415481,421537.13,1371971.8047778304,False,1,False,False,False
UP231000000024,Rampur Khurd,Ashok Gupta,1,4.8401,bigha,1.22407,2912195.59,1194013.7839835868,False,3,False,False,False
UP231000000025,Rampur Khurd,Pushpa Yadav,1,6.8718,bigha,1.737883,3819800.82,300523.85422359733,False,3,False,False,False
UP231000000026,Rampur Khurd,Meena Chauhan,1,5.0775,bigha,1.284097,1854597.46,154529.9957631702,False,1,False,False,False
UP231000000027,Rampur Khurd,Kamla Gupta,2,4.6638,bigha,1.17948,1425461.95,1004576.910489913,False,3,False,False,False
UP231000000028,Rampur Khurd,Ashok Mishra,1,2.229,bigha,0.563723,1142206.22,699541.0936113744,False,1,False,False,False
UP231000000029,Rampur Khurd,Kamla Mishra,1,2.2061,bigha,0.557929,616539.45,126881.89778652128,False,2,False,False,False
UP231000000030,Rampur Khurd,Sunita Mishra,1,7.558,bigha,1.911412,3081463.62,1662019.7260689177,False,0,False,False,False
UP231000000031,Rampur Khurd,Vijay Gupta,2,6.2745,bigha,1.586825,1968544.87,941169.9076367238,False,3,True,False,False
UP231000000032,Rampur Khurd,Bharat Sharma,1,2.6844,bigha,0.678896,810268.96,1443216.0767701631,False,3,False,False,False
UP231000000012,Rampur Khurd,Kusum Mishra,1,3.7937,bigha,0.959414,1531979.86,677773.2620350568,False,2,False,True,False
UP231000000034,Rampur Khurd,Kusum Chauhan,1,7.6309,bigha,1.929854,4823231.89,1377335.0101761546,False,0,False,False,False
UP231000000035,Rampur Khurd,Rajesh Gupta,1,4.0251,bigha,1.017942,1521000.87,710010.686317486,True,3,False,False,False
UP231000000036,Rampur Khurd,Sunita Verma,1,4.3883,bigha,1.1098,2062538.27,1047136.8945261583,False,0,False,False,False
UP231000000176,Rampur Khurd,Nirmala Chauhan,1,6.4949,bigha,1.642548,3295988.06,690425.2629473367,True,0,False,True,False
UP231000000139,Rampur Khurd,Dinesh Sharma,1,7.8518,bigha,1.985729,2411355.21,1147403.6460728925,False,4,False,True,False
UP231000000039,Rampur Khurd,Rekha Sharma,1,7.4964,bigha,1.895838,4319329.95,1963471.7995319292,False,3,False,False,False
UP231000000040,Rampur Khurd,Mohan Maurya,1,7.3283,bigha,1.85333,1531019.29,373895.2903372002,False,1,False,False,False
UP231000000041,Rampur Khurd,Santosh Patel,1,7.656,bigha,1.936214,3612121.2,1786133.4975277141,False,4,False,False,False
UP231000000042,Rampur Khurd,Geeta Verma,1,4.4837,bigha,1.13394,1998089.89,1605787.0003738112,True,4,False,False,False
UP231000000043,Rampur Khurd,Savitri Sharma,1,7.974,bigha,2.016612,3893164.93,302641.20810248575,False,2,True,False,False
UP231000000044,Rampur Khurd,Rajesh Mishra,1,6.3181,bigha,1.597837,1903345.1,1623670.7193360464,False,1,False,False,False
UP231000000045,Rampur Khurd,Kusum Singh,1,6.8361,bigha,1.728838,2054215.19,889455.8774956771,False,4,True,False,False
UP231000000046,Rampur Khurd,Suresh Gupta,1,5.6379,bigha,1.425829,2558196.45,1378373.925560132,False,4,True,False,False
UP231000000047,Rampur Khurd,Ashok Sharma,1,1.3709,bigha,0.346702,415750.62,1121338.551176799,False,2,False,False,False
UP231000000048,Rampur Khurd,Vijay Singh,1,1.5909,bigha,0.402351,284335.08,624174.7376370151,False,3,True,False,False
UP231000000049,Rampur Khurd,Vijay Singh,1,6.3078,bigha,1.595234,3414907.61,1232365.106831398,False,1,False,False,False
UP231000000050,Rampur Khurd,Kusum Singh,1,0.6184,bigha,0.156383,195654.36,340841.2330542825,False,0,False,False,False
UP231000000051,Rampur Khurd,Bharat Yadav,1,5.9543,bigha,1.505848,3531030.01,1351915.8399906552,False,0,False,False,False
UP231000000052,Rampur Khurd,Prabha Singh,1,5.0622,bigha,1.280238,1167141.64,622530.3991601111,False,4,False,False,False
UP231000000053,Rampur Khurd,Mohan Singh,1,3.7007,bigha,0.935915,1806954.81,87430.10234355368,True,0,False,False,True
UP231000000054,Rampur Khurd,Santosh Maurya,1,2.9723,bigha,0.751706,757564.2,771836.3513041586,False,3,False,False,False
UP231000000055,Rampur Khurd,Dinesh Maurya,1,7.8091,bigha,1.974921,4327695.65,1265789.2330173831,False,0,False,False,False
UP231000000056,Rampur Khurd,Pushpa Singh,1,0.5458,bigha,0.138031,314540.79,1176010.0800466149,False,1,False,False,False
UP231000000057,Rampur Khurd,Kusum Chauhan,1,1.1372,bigha,0.287592,255794.63,399078.804503591,False,0,False,False,False
UP231000000058,Rampur Khurd,Mohan Singh,1,3.7244,bigha,0.941889,1207048.24,1389123.8840442528,False,2,False,False,False
UP231000000059,Rampur Khurd,Rajesh Pandey,1,3.7299,bigha,0.943295,961798.28,1111906.460948105,False,4,False,False,False
UP231000000060,Rampur Khurd,Suresh Gupta,1,3.7753,bigha,0.954783,935656.21,927785.40118676,False,0,False,False,False
UP231000000061,Rampur Khurd,Usha Maurya,1,1.9543,bigha,0.494237,1047578.5,85109.97349573605,False,1,False,False,True
UP231000000026,Rampur Khurd,Nirmala Sharma,1,3.9796,bigha,1.006453,1769696.93,1200989.3704423306,False,4,False,True,False
UP231000000063,Rampur Khurd,Ashok Gupta,1,5.335,bigha,1.349221,3321143.56,271563.3576252753,False,3,False,False,False
UP231000000064,Rampur Khurd,Prabha Maurya,1,5.346,bigha,1.351992,1171556.95,1444481.23821423,False,4,False,False,False
UP231000000065,Rampur Khurd,Bharat Tiwari,1,2.2381,bigha,0.566008,1789498.81,689440.301348443,False,3,True,False,False
UP231000000066,Rampur Khurd,Kamla Singh,1,7.6075,bigha,1.92394,3129596.98,530431.7884143858,True,0,False,False,False
UP231000000067,Rampur Khurd,Bharat Tiwari,1,4.2052,bigha,1.063487,2787141.32,1565085.8460888779,False,1,True,False,False
UP231000000068,Rampur Khurd,Meena Verma,1,4.5051,bigha,1.139336,1510867.79,1636385.3550724941,False,1,False,False,False
UP231000000069,Rampur Khurd,Kamla Dubey,1,5.035,bigha,1.273345,2908452.37,199141.6261959087,False,2,False,False,False
UP231000000070,Rampur Khurd,Vijay Sharma,1,7.1347,bigha,1.804372,4297656.2,888304.1210561102,False,2,False,True,False
UP231000000071,Rampur Khurd,Rajesh Pandey,1,6.7333,bigha,1.702859,3559025.94,991309.2415954381,False,0,False,False,False
UP231000000072,Rampur Khurd,Ashok Verma,1,2.7586,bigha,0.697659,614758.6,897668.5331315418,False,3,False,False,False
UP231000000073,Rampur Khurd,Usha Singh,1,1.0076,bigha,0.254821,431743.08,1063922.6235015946,False,4,False,False,False
UP231000000074,Rampur Khurd,Nirmala Tiwari,1,6.7279,bigha,1.70148,3341639.67,1963556.4529988137,False,1,False,False,False
UP231000000075,Rampur Khurd,Usha Patel,1,7.9184,bigha,2.002568,3450730.26,581296.153884973,False,1,False,False,False
UP231000000076,Rampur Khurd,Rekha Singh,1,7.8029,bigha,1.97336,3243307.26,1045294.445737892,False,4,False,False,False
