ulpin,village,owner_primary,owner_count,area_textual,area_unit,area_ha_textual,declared_value_inr,income_stated_inr,mortgaged,mutation_events,injected_area_mismatch,injected_duplicate,injected_benami
TN042000000001,Vellore Nagar,Vijayalakshmi Reddy,1,437.3756,cents,1.769998,1855910.77,1490808.5019786393,False,0,False,False,False
TN042000000002,Vellore Nagar,Suresh Naicker,1,200.1656,cents,0.810042,1912050.72,1774948.7645047244,True,4,False,False,False
TN042000000003,Vellore Nagar,Meenakshi Iyer,1,444.7143,cents,1.799696,1459942.57,1775865.0620582683,False,1,False,False,False
TN042000000004,Vellore Nagar,Anitha Rajan,1,523.8733,cents,2.120042,3212056.26,1010140.2103926054,False,3,True,False,False
TN042000000005,Vellore Nagar,Vijayalakshmi Reddy,1,19.1238,cents,0.077391,156580.66,1357315.6189954004,False,0,False,False,False
TN042000000006,Vellore Nagar,Selvam Thevar,1,412.0221,cents,1.667396,1849480.28,1353332.6251099207,False,2,False,False,False
TN042000000007,Vellore Nagar,Selvam Thevar,1,57.1863,cents,0.231425,372357.58,1268021.522012697,True,1,False,False,False
TN042000000008,Vellore Nagar,Suresh Iyer,1,396.8822,cents,1.606127,2325835.57,1219191.3636682923,False,4,False,False,False
TN042000000009,Vellore Nagar,Priya Rajan,1,187.5122,cents,0.758836,806736.04,1337994.2760780703,False,4,False,False,False
TN042000000010,Vellore Nagar,Kumar Nadar,1,376.429,cents,1.523355,2375232.76,1428691.7403606013,True,2,False,False,False
TN042000000011,Vellore Nagar,Priya Nadar,1,308.4241,cents,1.248149,2535791.36,1868301.4830235494,False,4,False,False,False
TN042000000012,Vellore Nagar,Kumar Pillai,1,488.0665,cents,1.975137,1871704.34,624280.0532384103,False,3,False,False,False
TN042000000013,Vellore Nagar,Senthil Thevar,1,12.2792,cents,0.049692,54540.18,1061852.382885541,False,4,False,False,False
TN042000000014,Vellore Nagar,Senthil Reddy,1,396.4414,cents,1.604343,1884541.47,1432234.5922653917,False,3,False,False,False
TN042000000015,Vellore Nagar,Rajan Gounder,1,474.0879,cents,1.918567,3762852.23,1828862.1720769869,False,1,False,False,False
TN042000000016,Vellore Nagar,Kavitha Nadar,1,587.8388,cents,2.378902,3438444.71,1552064.0040075013,False,0,True,False,False
TN042000000017,Vellore Nagar,Meenakshi Gounder,1,492.3534,cents,1.992485,4696709.38,632506.5840480555,False,4,False,False,False
TN042000000018,Vellore Nagar,Priya Naicker,1,310.2613,cents,1.255584,1558796.51,1142270.4607204583,False,3,False,False,False
TN042000000019,Vellore Nagar,Kavitha Krishnan,1,142.2751,cents,0.575767,691420.93,921215.6282885863,False,1,False,False,False
TN042000000020,Vellore Nagar,Priya Iyer,1,157.0167,cents,0.635425,1115574.26,1178885.5864900923,False,1,False,False,False
TN042000000021,Vellore Nagar,Arjun Chettiar,1,178.6287,cents,0.722885,1084323.56,767071.9306767009,False,4,False,False,False
TN042000000022,Vellore Nagar,Suresh Naicker,1,216.6901,cents,0.876914,1614335.63,869068.1681998927,False,0,False,False,False
TN042000000023,Vellore Nagar,Rajan Iyer,1,392.6773,cents,1.58911,3807362.43,1521001.447105017,False,3,False,False,False
TN042000000024,Vellore Nagar,Arjun Nadar,1,60.9249,cents,0.246555,456316.79,260191.4066387866,False,3,False,False,False
TN042000000025,Vellore Nagar,Rajan Iyengar,1,227.974,cents,0.922579,2258677.89,1425483.46612339,True,4,False,False,False
TN042000000026,Vellore Nagar,Rajan Iyer,1,272.1985,cents,1.101549,2169180.22,1034670.1428236011,False,2,False,False,False
TN042000000027,Vellore Nagar,Padmini Reddy,1,242.5685,cents,0.981641,760132.62,1288113.7270865398,False,4,True,False,False
TN042000000028,Vellore Nagar,Arjun Pillai,2,71.2692,cents,0.288417,445692.43,115587.76976421435,True,3,False,False,False
TN042000000029,Vellore Nagar,Senthil Pillai,1,69.7612,cents,0.282314,594509.55,573028.4849637448,False,3,False,False,False
TN042000000030,Vellore Nagar,Kavitha Chettiar,1,245.8025,cents,0.994728,1301086.96,784810.6465212045,True,3,False,False,False
TN042000000031,Vellore Nagar,Kumar Thevar,1,175.8268,cents,0.711547,1742156.21,1543164.313493307,True,4,False,False,False
TN042000000032,Vellore Nagar,Selvam Iyengar,1,180.3557,cents,0.729874,1492654.2,623116.479430776,False,4,False,False,False
TN042000000033,Vellore Nagar,Kavitha Reddy,1,483.9099,cents,1.958316,4293381.32,460751.95964971586,False,4,False,False,False
TN042000000034,Vellore Nagar,Arjun Thevar,1,416.8987,cents,1.687131,1681925.35,1463905.8696825842,True,0,True,False,False
TN042000000035,Vellore Nagar,Suresh Krishnan,1,38.567,cents,0.156075,288549.93,1105139.5794543696,False,2,False,False,False
TN042000000036,Vellore Nagar,Padmini Iyengar,1,213.4405,cents,0.863764,845947.74,1313386.1697872798,False,3,False,False,False
TN042000000037,Vellore Nagar,Priya Rajan,1,384.4503,cents,1.555817,2383510.76,1479148.5988688224,False,4,False,False,False
TN042000000038,Vellore Nagar,Priya Pillai,1,388.0463,cents,1.570369,3774682.69,1662441.1703967939,False,4,False,False,False
TN042000000039,Vellore Nagar,Padmini Naicker,1,398.5231,cents,1.612767,1764261.05,1668839.9643312823,False,4,False,False,False
TN042000000040,Vellore Nagar,Suresh Reddy,2,30.1793,cents,0.122131,209807.18,384202.03641787235,False,1,False,False,False
TN042000000041,Vellore Nagar,Suresh Rajan,1,82.5261,cents,0.333971,458037.17,1004123.8433550082,False,4,False,False,False
TN042000000042,Vellore Nagar,Priya Reddy,1,462.8277,cents,1.872999,1783677.12,1376320.3515544971,False,2,False,False,False
TN042000000043,Vellore Nagar,Murugan Mudaliar,1,107.8458,cents,0.436437,626502.81,1539694.186926818,False,0,False,False,False
TN042000000044,Vellore Nagar,Padmini Nadar,2,172.6196,cents,0.698567,1437666.97,502563.09574263217,False,2,False,False,False
TN042000000045,Vellore Nagar,Padmini Thevar,1,142.9279,cents,0.578409,919921.38,1895835.3162991623,True,2,False,False,False
TN042000000046,Vellore Nagar,Selvam Mudaliar,1,255.3189,cents,1.03324,1631048.31,1860064.9487502237,True,3,False,False,False
TN042000000047,Vellore Nagar,Murugan Iyengar,1,475.067,cents,1.92253,2275295.95,749393.6904119931,False,1,False,False,False
TN042000000048,Vellore Nagar,Selvam Rajan,1,645.4296,cents,2.611963,3072459.59,350367.0513096362,False,4,True,False,False
TN042000000049,Vellore Nagar,Murugan Naicker,1,441.2646,cents,1.785736,2685511.98,881378.3502307637,False,2,False,True,False
TN042000000050,Vellore Nagar,Murugan Naicker,1,48.943,cents,0.198065,421028.35,354764.59230793046,False,3,False,False,False
TN042000000051,Vellore Nagar,Anitha Mudaliar,1,56.5382,cents,0.228802,390271.57,1030891.5071706409,False,3,True,False,False
